Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
250,LMI FINISHING INC,MASK OVEN NO. 54,LMI FINISHING INCMASK OVEN NO. 54,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,MASK OVEN,SEMCO CUSTOM,MASK OVEN,MASK OVEN NO. 54,Unassigned,120°F/200°F,±15°F,GAS PROPORTIONAL,"108"" X 72"" X 288""",1296,6 Mo,HONEYWELL UDC 3200,18W21C4000005577448,±2°F,HONEYWELL DR45AT,0125Y15128600001,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,4,0.5,1,pct m up 20,pct m dn 300,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMSO MANUFACTURING,,,
251,LMI FINISHING INC,OVEN NO. 260,LMI FINISHING INCOVEN NO. 260,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,PENETRANT INFRARED OVEN,N/A,260,OVEN NO. 260,ASTM E1417,100°F/120°F,±15°F,ELECTRIC,"108"" X 72"" X 150""",675,Q,SUNNE CONTROL,261,Comments*,OMEGA CT87HF,259,±2°F,*Non-indicating controller File# 261.  Confirmed capability of maintaining oven within required uniformity tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Rack,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMSO MANUFACTURING USA,,,
252,LMI FINISHING INC,PAINT BAKE NO. 98,LMI FINISHING INCPAINT BAKE NO. 98,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,JGI WP4100,SPECIFICATION,PAINT BAKE OVEN,SPRAY-TECH,98,PAINT BAKE NO. 98,UNASSIGNED,140°F/160°F,±15°F,ELECTRIC PROPORTIONAL,"396"" X 216"" X 96""",4752,6 Mo,MERCURY AIR,16B-63,±2°F,OMEGA RD8900,VR-023696,±4°F*,*Verified via ISC method during survey.  Omega HX93BDC-RP1 Sensor/Transmitter (#1067) also included.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCER CENTER OF KANSAS,,,
253,LMI FINISHING INC,PAINT OVEN 3 (#1086),LMI FINISHING INCPAINT OVEN 3 (#1086),2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,PAINT BAKE OVEN,COL-MET,A 06803908,PAINT OVEN 3 (#1086),UNASSIGNED,140°F,±15°F,ELECTRIC PROPORTIONAL,"360"" X 144"" X 96""",2928,6 Mo,RED LION T16,43144,*,OMEGA RD8900,VR-023696,±4°F,*Verified capability of controlling oven within tolerance. ,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPPS MANUFACTURING INC.,,,
254,LMI FINISHING INC,MASK OVEN NO. 22,LMI FINISHING INCMASK OVEN NO. 22,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,MASK BAKE OVEN,SEMCO CUSTOM,1605,MASK OVEN NO. 22,Unassigned,140°F/190°F,±15°F,GAS PROPORTIONAL,"120"" X 96"" X 348""",2320,6 Mo,Honeywell UDC3200,18W21C4000005577164,±2°F,Honeywell Truline,0438Y4643538000001,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,4,0.5,1,Out Hi 25,Out lo 0.0,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPPS MANUFACTURING INC. - CUSTER,,,
255,LMI FINISHING INC,Penetrant Oven 2,LMI FINISHING INCPenetrant Oven 2,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,Penetrant Oven 2,SEMCO CUSTOM,1605,File #22,ASTM E1417,100°F/120°F,±15°F,GAS PROPORTIONAL,"120"" X 96"" X 348""",2320,Q,Honeywell UDC3200,18W21C4000005577164,±2°F,Honeywell Truline,0438Y4643538000001,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,4,0.5,1,Out Hi 25,Out lo 0.0,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPSTONE CALIBRATION,,,
256,LMI FINISHING INC,TANK B1 (# 156),LMI FINISHING INCTANK B1 (# 156),2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CHEM MILL TANK 156,UNAVAILABLE,156,TANK B1 (# 156),UNASSIGNED,200°F,±5°F,ELECTRIC,"120"" X 60"" X 180""",750,A,HONEYWELL UDC 1200,1051 5691 6906 0006,±2°F,HONEYWELL DR45AT,C4000000333042,±2°F*,"*Recorder not furnished with chart.  Tested as monitor only, by comparison method.",On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDEN MACHINE SHOP,,,
257,LMI FINISHING INC,TANK NO. A8,LMI FINISHING INCTANK NO. A8,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CHEM MILL TANK 208,UNAVAILABLE,208,TANK NO. A8,UNASSIGNED,190°F/210°F,±5°F,ELECTRIC,"120"" X 60"" X 180""",750,A,Novas N960,16416124,±2°F,Honeywell DR45AT,0438Y464414800001,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARGILL DRESSING SAUCES AND OILS,,,
258,LMI FINISHING INC,CHEM MILL TANK D8,LMI FINISHING INCCHEM MILL TANK D8,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CHEM MILL TANK D8,Custom,File #325B,325B,UNASSIGNED,190°F/210°F,±5°F,ELECTRIC PROPORTIONAL,See Drawing,1473.8,A,Honeywell UDC 1200,1237 648028 010 008,±2°F,N/A,N/A,N/A,,On-Site,Bldg 2 Chem Mill Line,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARGILL GRAIN AND OILSEED NA (CRUSH),,,
259,LMI FINISHING INC,CHEM MILL TANK D10,LMI FINISHING INCCHEM MILL TANK D10,2104 N. 170TH ST. E. AVE.,"TULSA, OK 74116",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CHEM MILL TANK D10,Custom,File #326,326,UNASSIGNED,190°F/210°F,±5°F,ELECTRIC PROPORTIONAL,"334"" x 61"" x 125""",1474,A,Red Lion LD Series,LD2556PO,±2°F,N/A,N/A,N/A,,On-Site,Bldg 2 Chem Mill Line,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARGILL INCORPORATED,,,
260,LORAC CO. INC,I.R. BAKE OVEN,LORAC CO. INCI.R. BAKE OVEN,524 E.HARRY,"Wichita, KS  67211",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Infrared Bake Oven,CUSTOM,I.R. BAKE OVEN,I.R. BAKE OVEN,Not Assigned,375°F,±50°F,Gas-Fired Infrared,2' X 2' X 13',52,A,Eurotherm 3216,PL2137001287,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Rack,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CARGOTEC SOLUTIONS, LLC",,,
261,LTC INC. - PLANT 3,Oven No. 1,LTC INC. - PLANT 3Oven No. 1,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,WISCONSIN OVEN,EWN-812-8E,13640D1811,Oven No. 1,2B per AMS 2750H,190°F/400°F,±10.0°F,ELECTRIC PROPORTIONAL,"132"" X 92.5"" X 62""",438.1,M,Watlow EZ zone,038184,±2.0°F,Wonderware,Oven No. 1 Recorder,±2.0°F,Survey ran in simple cure mode to account for lack of production load.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable ,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CARLSON COMPANY, INC.",,,
262,LTC INC. - PLANT 3,Oven No. 1 TP2816A,LTC INC. - PLANT 3Oven No. 1 TP2816A,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, TP2816A",SPECIFICATION,WISCONSIN OVEN,EWN-812-8E,13640D1811,Oven No. 1,TP2816A,190°F/400°F,±10.0°F,ELECTRIC PROPORTIONAL,"132"" X 92.5"" X 62""",438.1,A,Watlow EZ zone,038184,±2.0°F,Wonderware,Oven No. 1 Recorder,±2.0°F,Survey ran in simple cure mode to account for lack of production load.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable ,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CASCADE ENGINEERING SERVICES, INC.",,,
263,LTC INC. - PLANT 3,Autoclave No. 1 Cessna,LTC INC. - PLANT 3Autoclave No. 1 Cessna,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,Autoclave No. 1 Cessna,WSF-Rapid Door,10806-1984,Autoclave No. 1 Cessna,TP2816A,250°F/375°F,±10°F,ELECTRIC PROPORTIONAL,5' DIA X 12' LENGTH,235.6,A,EUROTHERM 3504,US56365-009-001-12-06,±2°F,EUROTHERM 6180A,PL1331000066-3013-PL3,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,12,off,off,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""Unloaded"" or ""Loaded""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASCO PACKAWAY,,,
264,LTC INC. - PLANT 3,AUTOCLAVE NO. 1,LTC INC. - PLANT 3AUTOCLAVE NO. 1,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,CURING PROCESS AUTOCLAVE,WSF-RAPID DOOR,10806-1984,AUTOCLAVE NO. 1,2B per AMS 2750H,130°F/350°F,+10.0°F/-5.0°F,ELECTRIC PROPORTIONAL,See TC Layout,118,Q,EUROTHERM 3504,US56365-009-001-12-06,±2.0°F,EUROTHERM 6180A,PL1331000066-3013-PL3,±2.0°F,Above results obtained using a 3°F/min ramp rate starting 30°F below final setpoint.,On-Site,PRODUCTION - Tested on Site,Used,12,off,off,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CASEY INDUSTRIAL, INC.",,,
265,LTC INC. - PLANT 3,Autoclave No. 2 Cessna,LTC INC. - PLANT 3Autoclave No. 2 Cessna,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,CURING PROCESS AUTOCLAVE,HARRIS N-4644,C-6330,AUTOCLAVE NO. 2 Cessna,TP2816A,250°F/375°F,±10°F,GAS PROPORTIONAL,"60"" X 48"" X 300""",500,A,EUROTHERM 3504,US56365-009-002-12-06,±2°F,EUROTHERM 6180A,PL1726000916-2717-PL3,±2°F,A Controlled ramp rate of 5°F/minute was used to obtain the above results,On-Site,PRODUCTION - Tested on Site,Used,5,off,35,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""Unloaded"" or ""Loaded""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTLE METALS,,,
266,LTC INC. - PLANT 3,AUTOCLAVE NO. 2,LTC INC. - PLANT 3AUTOCLAVE NO. 2,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CURING PROCESS AUTOCLAVE,HARRIS N-4644,C-6330,AUTOCLAVE NO. 2,2B per AMS 2750H,190°F/400°F,+10.0°F/-5.0°F,GAS PROPORTIONAL,"60"" X 48"" X 300""",500,Q,EUROTHERM 3504,US56365-009-002-12-06,±2.0°F,EUROTHERM 6180A,PL1726000916-2717-PL3,±2.0°F,A controlled ramp rate of 5°F/minute was used to obtain the above results.,On-Site,PRODUCTION - Tested on Site,Used,5,off,35,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTLE METALS AERO. - 31ST ST DIV.,,,
267,LTC INC. - PLANT 3,AUTOCLAVE NO. 3,LTC INC. - PLANT 3AUTOCLAVE NO. 3,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,AUTOCLAVE,Adamson United,F-2434,AUTOCLAVE NO. 3,2B per AMS 2750H,190°F/390°F,±10.0°F,ELECTRIC,"222"" x 76"" x 70""",683.5,Q,WATLOW EZ Zone,13730,±2.0°F,Wonderware,AC3,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,U/A,U/A,U/A,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTLE METALS AERO. - ALL HALLOWS CLOSED,,,
268,LTC INC. - PLANT 3,AUTOCLAVE NO. 3 TP,LTC INC. - PLANT 3AUTOCLAVE NO. 3 TP,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, TP2816A",SPECIFICATION,AUTOCLAVE,Adamson United,F-2434,AUTOCLAVE NO. 3,2B per AMS 2750H,190°F/390°F,±10°F,ELECTRIC,"223"" x 76"" x 70""",686.55,A,WATLOW EZ Zone,13730,±2°F,Wonderware,AC3,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,U/A,U/A,U/A,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTLE METALS AEROSPACE,,,
269,LTC INC. - PLANT 3,AUTOCLAVE NO. 4,LTC INC. - PLANT 3AUTOCLAVE NO. 4,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,AUTOCLAVE,UNAVAILABLE,AC4,AUTOCLAVE NO. 4,2B per AMS 2750H,190°F/400°F,±10.0°F,ELECTRIC,"60"" X 50"" X 150""",260.4,Q,WATLOW F4 (LTC#2019),025892-1328,±2.0°F,LTC CUSTOM V1.1,AC4,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,PB A: 5°F,Reset A: 0.5/min,Rate: 1.00 min,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASTLE METALS AEROSPACE - SHANGHAI,,,
270,LTC INC. - PLANT 3,AUTOCLAVE NO. 4 TP2816A,LTC INC. - PLANT 3AUTOCLAVE NO. 4 TP2816A,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, TP2816A",SPECIFICATION,AUTOCLAVE,UNAVAILABLE,AC4,AUTOCLAVE NO. 4,TP2816A,190°F/400°F,±10°F,ELECTRIC,"60"" X 50"" X 150""",260.4,Annual,WATLOW F4 (LTC#2019),025892-1328,±2°F,LTC CUSTOM V1.1,AC4,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,PB A: 5°F,Reset A: 0.5/min,Rate: 1.00 min,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""Unloaded"" or ""Loaded""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATALYTIC INDUSTRIAL GROUP,,,
271,LTC INC. - PLANT 3,AUTOCLAVE NO. 5,LTC INC. - PLANT 3AUTOCLAVE NO. 5,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,AUTOCLAVE,Unavailable,AC5,AUTOCLAVE NO. 5,Unassigned,200°F/400°F,±10°F,ELECTRIC,"90"" X 52.5"" X 239.5""",654.88,A,WATLOW F4,013639,±2°F,Wonderware,Custom,±2°F,Autoclave tested for reference and to confirm accuracy per customer instructions.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAV AEROSPACE,,,
